,precision,precision_lower,precision_upper,recall,recall_lower,recall_upper,ndcg,ndcg_lower,ndcg_upper,users
popularity,0.0025,0.0005,0.005,0.0024444444444444444,0.0005,0.004749999999999999,0.0026620751651451045,0.0005876138735362134,0.005372137637694871,200.0
cf,0.0045000000000000005,0.002,0.0075,0.005383116883116883,0.0021582386363636365,0.009181452922077907,0.005116635113434949,0.0020495389706016833,0.009130525543817145,200.0
cbf,0.0055000000000000005,0.0025,0.009000000000000001,0.006543831168831169,0.003158734668109668,0.010408739177489178,0.0060264958884667826,0.002699107188378593,0.010342578061207114,200.0
hybrid,0.0055000000000000005,0.0025,0.009000000000000001,0.0062104978354978356,0.0029500496031746024,0.010187608225108221,0.005727656458443634,0.0024141436542847866,0.00950988429083726,200.0
